"term","count.2013","pct.2013","count.2017","pct.2017","difference","ratio"
"sthree",56,0.00145518800509316,16,0.00628683693516699,0.00483164893007384,4.3202918888577
"coverage",263,0.00683418652391965,75,0.0294695481335953,0.0226353616096756,4.31207840617927
"adjustment",39,0.00101343450354702,11,0.00432220039292731,0.00330876588938029,4.26490353130825
"andy",39,0.00101343450354702,11,0.00432220039292731,0.00330876588938029,4.26490353130825
"classroom",82,0.00213081100745784,23,0.00903732809430255,0.00690651708684472,4.24126215918348
"functionally",50,0.00129927500454746,14,0.00550098231827112,0.00420170731372366,4.23388605108055
"mileage",50,0.00129927500454746,14,0.00550098231827112,0.00420170731372366,4.23388605108055
"steel",43,0.00111737650391082,12,0.00471512770137525,0.00359775119746443,4.21981998446566
"philosophy",62,0.00161110100563885,17,0.00667976424361493,0.00506866323797608,4.1460865707586
"meter",73,0.0018969415066393,20,0.00785854616895874,0.00596160466231945,4.14274564684985
"housekeep",74,0.00192292700673024,20,0.00785854616895874,0.0059356191622285,4.0867625975681
"workplace",215,0.00558688251955409,58,0.0227897838899804,0.0172029013704263,4.07915931831681
"satisfactory",60,0.00155913000545695,16,0.00628683693516699,0.00472770692971004,4.03227242960052
"march",117,0.00304030351064106,31,0.0121807465618861,0.00914044305124499,4.00642452941078
"lease",95,0.00246862250864018,25,0.00982318271119843,0.00735456020255825,3.97921621342157
"kingdom",216,0.00561286801964504,56,0.0220039292730845,0.0163910612534394,3.92026486211162
"george",62,0.00161110100563885,16,0.00628683693516699,0.00467573592952814,3.90219912541986
"independent",628,0.0163188940571161,162,0.0636542239685658,0.0473353299114497,3.90064570220114
"voucher",618,0.0160590390562066,159,0.062475442043222,0.0464164029870154,3.89035992904419
"stock",460,0.0119533300418367,118,0.0463654223968566,0.0344120923550199,3.87887076108311
"multi",976,0.0253618480887665,249,0.0978388998035363,0.0724770517147699,3.85771965280685
"half",134,0.0034820570121872,34,0.0133595284872299,0.00987747147504266,3.8366771251796
"puppet",242,0.00628849102200972,61,0.0239685658153242,0.0176800747933144,3.81149718293851
"dialogue",56,0.00145518800509316,14,0.00550098231827112,0.00404579431317796,3.78025540275049
"soc",132,0.0034300860120053,33,0.0129666011787819,0.00953651516677662,3.78025540275049
"cultural",90,0.00233869500818543,22,0.00864440078585462,0.00630570577766919,3.69624972713381
"circumstance",70,0.00181898500636645,17,0.00667976424361493,0.00486077923724848,3.67224810552905
"norfolk",87,0.00226073850791258,21,0.00825147347740668,0.00599073496949409,3.64990176817289
"db",552,0.014343996050204,133,0.0522593320235756,0.0379153359733717,3.64328962728852
"intervention",50,0.00129927500454746,12,0.00471512770137525,0.00341585269682778,3.62904518664047
"specialize",205,0.0053270275186446,49,0.0192534381139489,0.0139264105953043,3.61429297043462
"wave",63,0.0016370865057298,15,0.00589390962671906,0.00425682312098925,3.60024324071475
"frontline",59,0.00153314450536601,14,0.00550098231827112,0.00396783781290511,3.58803902633945
"grade",357,0.00927682353246888,84,0.0330058939096267,0.0237290703771578,3.55788743788282
"cloud",1855,0.0482031026687109,436,0.171316306483301,0.12311320381459,3.55405144064521
"happen",179,0.00465140451627992,42,0.0165029469548134,0.0118515424385334,3.5479492048161
"abacus",47,0.00122131850427461,11,0.00432220039292731,0.00310088188865269,3.53896250470259
"anywhere",171,0.00444352051555232,40,0.0157170923379175,0.0112735718223652,3.53708107859695
"superior",124,0.00322220201127771,29,0.0113948919449902,0.00817268993371247,3.53636795741175
"kick",90,0.00233869500818543,21,0.00825147347740668,0.00591277846922125,3.52823837590046
"complexity",286,0.00743185302601149,66,0.0259332023575638,0.0185013493315524,3.48946652561584
"rtl",78,0.00202686900709404,18,0.00707269155206287,0.00504582254496883,3.48946652561584
"citizen",74,0.00192292700673024,17,0.00667976424361493,0.00475683723688469,3.47374820793288
"individually",285,0.00740586752592054,65,0.0255402750491159,0.0181344075231954,3.44865405163203
"commit",1299,0.0337551646181431,296,0.116306483300589,0.0825513186824463,3.44559075970484
"supervisory",88,0.00228672400800353,20,0.00785854616895874,0.00557182216095521,3.43659582068226
"prevent",119,0.00309227451082296,27,0.0106090373280943,0.00751676281727134,3.430820029387
"lens",53,0.00137723150482031,12,0.00471512770137525,0.00333789619655494,3.42362753456648
"leave",572,0.014863706052023,129,0.0506876227897839,0.0358239167377609,3.41016046821548
"ecosystem",71,0.0018449705064574,16,0.00628683693516699,0.0044418664287096,3.4075541658596
"solely",577,0.0149936335524777,130,0.0510805500982318,0.0360869165457541,3.40681596088432
"heritage",80,0.00207884000727594,18,0.00707269155206287,0.00499385154478693,3.40222986247544
"artist",76,0.00197489800691214,17,0.00667976424361493,0.00470486623670279,3.38233378140833
"might",300,0.00779565002728478,67,0.0263261296660118,0.018530479638727,3.37702815979044
"partnership",670,0.017410285060936,149,0.0585461689587426,0.0411358838978066,3.36273465677506
"every",1208,0.0313904841098667,268,0.105304518664047,0.0739140345541805,3.35466373489116
"discount",478,0.0124210690434737,106,0.0416502946954813,0.0292292256520076,3.35319726101717
"food",276,0.00717199802510199,61,0.0239685658153242,0.0167965677902222,3.34196492127217
"automatic",86,0.00223475300782164,19,0.00746561886051081,0.00523086585268917,3.34069082103532
"ethic",394,0.010238287035834,87,0.0341846758349705,0.0239463887991365,3.33890578720094
"adjust",68,0.00176701400618455,15,0.00589390962671906,0.00412689562053451,3.33551947301514
"merchant",91,0.00236468050827638,20,0.00785854616895874,0.00549386566068236,3.32330145296746
"landscape",205,0.0053270275186446,45,0.0176817288801572,0.0123547013615126,3.3192486463175
"vision",567,0.0147337785515682,123,0.0483300589390963,0.033596280387528,3.28022161931789
"accelerate",120,0.00311826001091391,26,0.0102161100196464,0.00709785000873246,3.27622134905043
"night",217,0.00563885351973599,47,0.018467583497053,0.0128287299773171,3.2750599802631
"serve",449,0.0116674895408362,97,0.0381139489194499,0.0264464593786137,3.26667950170866
"spectrum",153,0.00397578151391524,33,0.0129666011787819,0.00899081966486669,3.26139681805925
"everyday",65,0.0016890575059117,14,0.00550098231827112,0.00381192481235942,3.25683542390812
"participation",229,0.00595067952082738,49,0.0192534381139489,0.0133027585931215,3.23550244078208
"mail",309,0.00802951952810332,66,0.0259332023575638,0.0179036828294605,3.22973277128197
"commence",164,0.00426162201491568,35,0.0137524557956778,0.00949083378076212,3.22704729503091
"lift",61,0.0015851155055479,13,0.00510805500982318,0.00352293950427528,3.22251280234468
"clinical",484,0.0125769820440194,103,0.0404715127701375,0.0278945307261181,3.21790335936612
"cash",329,0.0085492295299223,70,0.0275049115913556,0.0189556820614333,3.21723864063872
"community",1040,0.0270249200945872,221,0.0868369351669941,0.0598120150724069,3.21321709233792
"college",311,0.00808149052828522,66,0.0259332023575638,0.0178517118292786,3.20896278561457
"dedication",123,0.00319621651118676,26,0.0102161100196464,0.00701989350845961,3.19631351126871
